(Master) New Centroids =  {'0': (-0.4492417238652706, -3.554937267675996), '1': (-7.120033370123969, -0.3572964370250702)}
(Master) New Centroids =  {'0': (0.14812129735946655, -3.22398340900739), '1': (-7.348998737335205, -1.173491308093071)}
(Master) New Centroids =  {'0': (1.1353810796370873, -2.435982367167106), '1': (-7.169010162353516, -2.3689077869057655)}
(Master) New Centroids =  {'0': (1.2240224664027874, -1.6435945882247045), '1': (-7.2650383313496905, -3.227327880760034)}
(Master) New Centroids =  {'0': (1.2240224664027874, -1.6435945882247045), '1': (-7.2650383313496905, -3.227327880760034)}
(Master) New Centroids =  {'0': (1.2240224664027874, -1.6435945882247045), '1': (-7.2650383313496905, -3.227327880760034)}
(Master) New Centroids =  {'0': (1.2240224664027874, -1.6435945882247045), '1': (-7.2650383313496905, -3.227327880760034)}
(Master) New Centroids =  {'0': (1.2240224664027874, -1.6435945882247045), '1': (-7.2650383313496905, -3.227327880760034)}
(Master) New Centroids =  {'0': (1.2240224664027874, -1.6435945882247045), '1': (-7.2650383313496905, -3.227327880760034)}
(Master) New Centroids =  {'0': (1.2240224664027874, -1.6435945882247045), '1': (-7.2650383313496905, -3.227327880760034)}
